fish,state,avgF,runLength,start,end
Haddock Georges Bank,Decline,0.6,3,1966,1968
Haddock Georges Bank,Stable,0.313,30,1969,1998
Haddock Georges Bank,Recover,0.22166666666666668,6,1999,2004
Haddock Georges Bank,Stable,0.205,6,2005,2010
Haddock NAFO-4X5Y,Stable,NA,12,1970,1981
Haddock NAFO-4X5Y,Decline,NA,7,1982,1988
Haddock NAFO-4X5Y,Stable,NA,22,1989,2010
Haddock NAFO-5Y,Stable,0.6071428571428571,7,1977,1983
Haddock NAFO-5Y,Decline,0.51,3,1984,1986
Haddock NAFO-5Y,Stable,1.035,8,1987,1994
Haddock NAFO-5Y,Recover,0.15000000000000002,3,1995,1997
Haddock NAFO-5Y,Stable,0.2623076923076923,13,1998,2010
Hoki Western New Zealand,Stable,0.12595581395348837,43,1970,2012
Jackass morwong Southeast Australia,Stable,NA,71,1913,1983
Jackass morwong Southeast Australia,Decline,NA,13,1984,1996
Jackass morwong Southeast Australia,Stable,NA,11,1997,2007
Lingcod Northern Pacific Coast,Stable,NA,82,1928,2009
Lingcod Southern Pacific Coast,Stable,NA,44,1928,1971
Lingcod Southern Pacific Coast,Decline,NA,10,1972,1981
Lingcod Southern Pacific Coast,Stable,NA,18,1982,1999
Lingcod Southern Pacific Coast,Recover,NA,5,2000,2004
Lingcod Southern Pacific Coast,Stable,NA,5,2005,2009
Mutton snapper Southern Atlantic coast and Gulf of Mexico,Stable,0.21904,15,1981,1995
Mutton snapper Southern Atlantic coast and Gulf of Mexico,Recover,0.20822222222222223,9,1996,2004
Mutton snapper Southern Atlantic coast and Gulf of Mexico,Stable,0.16799999999999998,2,2005,2006
New Zealand snapper New Zealand Area 8,Stable,0.047017826086956524,46,1931,1976
New Zealand snapper New Zealand Area 8,Decline,0.3328333333333333,6,1977,1982
New Zealand snapper New Zealand Area 8,Stable,0.19060869565217392,23,1983,2005
Northern rock sole Eastern Bering Sea and Aleutian Islands,Stable,0.265,6,1975,1980
Northern rock sole Eastern Bering Sea and Aleutian Islands,Recover,0.081,10,1981,1990
Northern rock sole Eastern Bering Sea and Aleutian Islands,Stable,0.06181818181818182,22,1991,2012
Orange roughy New Zealand Mid East Coast,Stable,0.12415730337078651,89,1909,1997
Orange roughy New Zealand Mid East Coast,Decline,0.10500000000000001,10,1998,2007
Orange roughy New Zealand Mid East Coast,Stable,0.09,4,2008,2011
Orange roughy Southeast Australia,Stable,NA,15,1978,1992
Orange roughy Southeast Australia,Decline,NA,6,1993,1998
Orange roughy Southeast Australia,Stable,NA,9,1999,2007
Pacific bluefin tuna Pacific Ocean,Stable,NA,4,1952,1955
Pacific bluefin tuna Pacific Ocean,Recover,NA,3,1956,1958
Pacific bluefin tuna Pacific Ocean,Stable,NA,4,1959,1962
Pacific bluefin tuna Pacific Ocean,Decline,NA,4,1963,1966
Pacific bluefin tuna Pacific Ocean,Stable,NA,42,1967,2008
Pacific chub mackerel Pacific Coast,Stable,NA,15,1929,1943
Pacific chub mackerel Pacific Coast,Decline,NA,4,1944,1947
Pacific chub mackerel Pacific Coast,Stable,NA,26,1948,1973
Pacific chub mackerel Pacific Coast,Recover,NA,3,1974,1976
Pacific chub mackerel Pacific Coast,Stable,NA,20,1977,1996
Pacific chub mackerel Pacific Coast,Decline,NA,3,1997,1999
Pacific chub mackerel Pacific Coast,Stable,NA,9,2000,2008
Pacific cod Hecate Strait,Stable,0.22316216216216214,37,1956,1992
Pacific cod Hecate Strait,Decline,0.211625,8,1993,2000
Pacific cod Hecate Strait,Stable,0.09993333333333333,3,2001,2003
Pacific cod West Coast of Vancouver Island,Stable,0.19932,25,1956,1980
Pacific cod West Coast of Vancouver Island,Decline,0.19233333333333333,3,1981,1983
Pacific cod West Coast of Vancouver Island,Stable,0.191,1,1984,1984
Pacific cod West Coast of Vancouver Island,Recover,0.2125,2,1985,1986
Pacific cod West Coast of Vancouver Island,Stable,0.2625,4,1987,1990
Pacific cod West Coast of Vancouver Island,Decline,0.593,3,1991,1993
Pacific cod West Coast of Vancouver Island,Stable,0.1815,8,1994,2001
Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,Stable,0.044365,10,1977,1986
Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,Recover,0.037962499999999996,8,1987,1994
Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,Stable,0.0288875,16,1995,2010
Pacific ocean perch Gulf of Alaska,Stable,0.30715,10,1961,1970
Pacific ocean perch Gulf of Alaska,Decline,0.3342,5,1971,1975
Pacific ocean perch Gulf of Alaska,Stable,0.1582235294117647,17,1976,1992
Pacific ocean perch Gulf of Alaska,Recover,0.03714,5,1993,1997
Pacific ocean perch Gulf of Alaska,Stable,0.08058333333333333,12,1998,2009
Pacific ocean perch Pacific Coast,Stable,0.03392857142857143,28,1940,1967
Pacific ocean perch Pacific Coast,Decline,0.0638888888888889,18,1968,1985
Pacific ocean perch Pacific Coast,Stable,0.0348,25,1986,2010
Peruvian anchoveta North-Central Peru,Stable,0.592902,25,1962,1986
Peruvian anchoveta North-Central Peru,Recover,0.894142857142857,7,1987,1993
Peruvian anchoveta North-Central Peru,Stable,0.8809333333333333,15,1994,2008
Petrale sole Pacific Coast,Stable,NA,44,1930,1973
Petrale sole Pacific Coast,Decline,NA,7,1974,1980
Petrale sole Pacific Coast,Stable,NA,31,1981,2011
Red grouper South Atlantic,Stable,NA,34,1976,2009
Red king crab Bristol Bay,Recover,NA,17,1985,2001
Red king crab Bristol Bay,Stable,NA,7,2002,2008
